Filtro,MSE,PSNR (dB)
Média 3x3,164.9432,25.9575
Média 7x7,267.9296,23.8506
Gaussiano 3x3,176.1462,25.6721
Gaussiano 7x7,159.9336,26.0914
Mediana 3x3,32.4407,33.0199
Mediana 7x7,198.2991,25.1576
Moda 3x3,585.6770,20.4542
Moda 7x7,664.5231,19.9057
