Filtro,MSE,PSNR (dB)
Média 3x3,155.8505,26.2037
Média 7x7,132.5445,26.9072
Gaussiano 3x3,179.6442,25.5867
Gaussiano 7x7,111.7089,27.6499
Mediana 3x3,26.2128,33.9457
Mediana 7x7,90.7365,28.5530
Moda 3x3,400.3421,22.1065
Moda 7x7,356.1198,22.6148
